,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,NADH dianion,e4a5a,,168.01666368749966,643.1424252659349,90.0,25.0,#0000ff,ChEBI,CHEBI:57945,POINT (168.01666368749966 643.1424252659349)
1,estrone,e7f1c,,319.659904359375,680.142425265935,161.0,25.0,#0000ff,ChEBI,CHEBI:17263,POINT (319.659904359375 680.142425265935)
2,estradiol 3-sulphate,fe919,,319.659904359375,381.14242526593335,161.0,25.0,#0000ff,ChEBI,CHEBI:4866,POINT (319.659904359375 381.14242526593335)
3,NAD anion,e3742,,168.01666368749966,559.142425265934,90.0,25.0,#0000ff,ChEBI,CHEBI:57540,POINT (168.01666368749966 559.142425265934)
4,Estradiol-17beta,a80ef,,319.659904359375,537.1424252659338,161.0,25.0,#0000ff,ChEBI,CHEBI:16469,POINT (319.659904359375 537.1424252659338)
5,SULT1E1,abbb8,,503.65990435937505,454.1424252659333,90.0,25.0,#None,Uniprot-TrEMBL,P49888,POINT (503.65990435937505 454.1424252659333)
6,STS,d6f8b,,503.65990435937505,745.142425265935,90.0,25.0,#None,Uniprot-TrEMBL,P08842,POINT (503.65990435937505 745.142425265935)
7,HSD17B1,ed627,,503.65990435937505,608.1424252659349,90.0,25.0,#None,Uniprot-TrEMBL,P14061,POINT (503.65990435937505 608.1424252659349)
8,HSD3B1,bf5eb,,1029.6599043593742,608.1424252659349,90.0,25.0,#None,Uniprot-TrEMBL,P14060,POINT (1029.6599043593742 608.1424252659349)
9,SLCO1B1,c4629,dc920,484.98699375,888.0043237034349,90.0,25.0,#None,Uniprot-TrEMBL,Q9Y6L6,POINT (484.98699375 888.0043237034349)
10,NADPH tetraanion,ea187,,1022.7410520468745,506.50280782843333,138.0,25.0,#0000ff,ChEBI,CHEBI:57783,POINT (1022.7410520468745 506.50280782843333)
11,DHEA-S,c7249,,852.659904359375,801.142425265935,161.0,25.0,#0000ff,ChEBI,CHEBI:16814,POINT (852.659904359375 801.142425265935)
12,SLCO1B3,b8c19,dc920,484.98699375,917.3587996409349,90.0,25.0,#None,Uniprot-TrEMBL,Q9NPD5,POINT (484.98699375 917.3587996409349)
13,HSD17B2,c71cf,,119.65990435937493,604.1424252659349,90.0,25.0,#None,Uniprot-TrEMBL,P37059,POINT (119.65990435937493 604.1424252659349)
14,SLCO4A1,b2fb8,dc920,484.98699375,979.8965962034349,90.0,25.0,#None,Uniprot-TrEMBL,Q96BD0,POINT (484.98699375 979.8965962034349)
15,PAP,db967,,483.65990435937505,406.14242526593335,90.0,25.0,#0000ff,ChEBI,58343,POINT (483.65990435937505 406.14242526593335)
16,ESR2,d2ff1,f781e,1069.6849733125014,220.53859964093346,90.0,25.0,#None,Uniprot-TrEMBL,Q92731,POINT (1069.6849733125014 220.53859964093346)
17,DHEA,d9c73,,852.659904359375,680.142425265935,161.0,25.0,#0000ff,ChEBI,CHEBI:28689,POINT (852.659904359375 680.142425265935)
