,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,PAI-1,a8e65,,1015.1944659433085,909.8839150709396,90.0,25.0,#None,Uniprot-TrEMBL,P05121,POINT (1015.1944659433085 909.8839150709396)
1,TAZ,aba83,,564.9387339624514,421.6041040246678,90.0,60.8336336993998,#None,Uniprot-TrEMBL,Q9GZV5,POINT (564.9387339624514 421.6041040246678)
2,Smad3,b9c95,,520.9238034809841,322.5571121829117,80.0,20.0,#None,Uniprot-TrEMBL,P84022,POINT (520.9238034809841 322.5571121829117)
3,Smad2,ba3a1,,520.9238034809841,301.385576030444,80.0,20.0,#None,Uniprot-TrEMBL,Q15796,POINT (520.9238034809841 301.385576030444)
4,TGFβ-I-R,bff42,,581.4907661922672,169.82344162409584,68.182,170.69214635937493,#None,Uniprot-TrEMBL,P36897,POINT (581.4907661922672 169.82344162409584)
5,SERPINE1,c6cd9,,824.6314475720992,905.6466287375159,80.0,20.0,#None,Uniprot-TrEMBL,P05121,POINT (824.6314475720992 905.6466287375159)
6,CTFG,d3ed3,,1015.1944659433085,949.20899238535,90.0,25.0,#None,Uniprot-TrEMBL,P29279,POINT (1015.1944659433085 949.20899238535)
7,Smad4,d6126,,856.4522295320231,312.79105560645,80.0,20.0,#None,Uniprot-TrEMBL,Q13485,POINT (856.4522295320231 312.79105560645)
8,SPARC,db83b,,824.1503307405296,872.2630389001014,80.0,20.0,#None,Uniprot-TrEMBL,P09486,POINT (824.1503307405296 872.2630389001014)
9,CNN2,e1e11,,824.3006248885312,943.2556549379482,80.0,20.0,#None,Uniprot-TrEMBL,P29279,POINT (824.3006248885312 943.2556549379482)
10,Sparc,e26ca,,1013.9655572772332,876.7033810869057,90.0,25.0,#None,Uniprot-TrEMBL,P09486,POINT (1013.9655572772332 876.7033810869057)
11,14-3-3,e8267,,267.0507223767213,422.77959299525196,90.0,25.0,#None,Uniprot-TrEMBL,P61981,POINT (267.0507223767213 422.77959299525196)
12,POSTN,eafdd,,825.1850630390657,839.174252866475,80.0,20.0,#None,Uniprot-TrEMBL,Q15063,POINT (825.1850630390657 839.174252866475)
13,Periostin,f6176,,1014.5800116102708,843.5228471028717,90.0,25.0,#None,Uniprot-TrEMBL,Q15063,POINT (1014.5800116102708 843.5228471028717)
14,TGFβ-II-R,de268,,492.1563045884015,168.0489927803455,68.182,170.69214635937493,#None,Uniprot-TrEMBL,P37173,POINT (492.1563045884015 168.0489927803455)
15,Smad2,cd195,aa05b,667.8008971623416,302.10011329553566,80.0,20.0,#None,Uniprot-TrEMBL,Q15796,POINT (667.8008971623416 302.10011329553566)
16,Smad3,f241f,aa05b,667.8008971623416,322.1680914670619,80.0,20.0,#None,Uniprot-TrEMBL,P84022,POINT (667.8008971623416 322.1680914670619)
17,Smad2,f0fb3,a09c0,764.1860385297998,403.53498951566655,80.0,20.0,#None,Uniprot-TrEMBL,Q15796,POINT (764.1860385297998 403.53498951566655)
18,Smad3,f1c1b,a09c0,765.4581539144152,422.33085230257734,80.0,20.0,#None,Uniprot-TrEMBL,P84022,POINT (765.4581539144152 422.33085230257734)
19,Smad4,ba711,a09c0,765.8233222504085,441.62181629982206,80.0,20.0,#None,Uniprot-TrEMBL,Q13485,POINT (765.8233222504085 441.62181629982206)
20,TAZ,cbcbc,f1237,624.1050668518428,556.4410477265294,90.0,60.8336336993998,#None,Uniprot-TrEMBL,Q9GZV5,POINT (624.1050668518428 556.4410477265294)
21,Smad2,a8b49,f1237,710.7648459150414,536.8810686987892,80.0,20.0,#None,Uniprot-TrEMBL,Q15796,POINT (710.7648459150414 536.8810686987892)
22,Smad3,e8a92,f1237,710.7648459150413,556.8810686987895,80.0,20.0,#None,Uniprot-TrEMBL,P84022,POINT (710.7648459150413 556.8810686987895)
23,Smad4,ecec5,f1237,710.7648459150415,576.7483763910972,80.0,20.0,#None,Uniprot-TrEMBL,Q13485,POINT (710.7648459150415 576.7483763910972)
24,TGF-β,f9fcd,,492.16184225721514,49.340183715225294,56.918,27.241052046874966,#None,Uniprot-TrEMBL,P01137,POINT (492.16184225721514 49.340183715225294)
25,ECM proteins,cb0bb,,1727.242390463061,826.161268918668,90.0,37.345070422533404,#None,Wikidata,Q193825,POINT (1727.242390463061 826.161268918668)
26,ECM proteins,d2bd0,,1495.7192673165032,826.806699457037,90.0,37.345070422533404,#None,Wikidata,Q193825,POINT (1495.7192673165032 826.806699457037)
27,TGFβ-III-R,a70c6,,370.0911558463806,169.7844953563217,68.18231169276123,170.69214635937493,#None,Uniprot-TrEMBL,Q03167,POINT (370.0911558463806 169.7844953563217)
28,TAZ,fe8ca,,405.1555143399421,422.3329123879902,90.0,60.8336336993998,#None,Uniprot-TrEMBL,Q9GZV5,POINT (405.1555143399421 422.3329123879902)
29,14-3-3,af70b,ca30a,286.18106841529493,556.9613086016219,90.0,25.0,#None,Uniprot-TrEMBL,P61981,POINT (286.18106841529493 556.9613086016219)
30,TAZ,ea681,ca30a,377.54709702522695,555.8479184798697,90.0,60.8336336993998,#None,Uniprot-TrEMBL,Q9GZV5,POINT (377.54709702522695 555.8479184798697)
31,TAZ,b21df,e7683,623.5624668574425,732.8164608650419,90.0,60.8336336993998,#None,Uniprot-TrEMBL,Q9GZV5,POINT (623.5624668574425 732.8164608650419)
32,Smad2,f6eb0,e7683,710.2222459206411,713.2564818373016,80.0,20.0,#None,Uniprot-TrEMBL,Q15796,POINT (710.2222459206411 713.2564818373016)
33,Smad3,c7605,e7683,710.222245920641,733.256481837302,80.0,20.0,#None,Uniprot-TrEMBL,P84022,POINT (710.222245920641 733.256481837302)
34,Smad4,ffc09,e7683,710.2222459206412,753.1237895296098,80.0,20.0,#None,Uniprot-TrEMBL,Q13485,POINT (710.2222459206412 753.1237895296098)
