,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,GRIA2,e57b7,d8818,159.5,180.0,57.0,25.0,#None,Ensembl,ENSG00000120251,POINT (159.5 180)
1,Na+,a25ca,,188.5,76.0,47.0,25.0,#0000ff,ChEBI,CHEBI:29101,POINT (188.5 76)
2,HOMER3,a962f,,658.0,184.0,72.0,25.0,#None,Ensembl,ENSG00000051128,POINT (658 184)
3,RYR3,ab132,,746.5,423.0,59.0,25.0,#None,Ensembl,ENSG00000198838,POINT (746.5 423)
4,IP3,abdec,,393.0,285.0,56.0,25.0,#0000ff,HMDB,HMDB0001498,POINT (393 285)
5,"PI(3,4,5)P3",b02a3,,393.0,375.0,74.0,25.0,#0000ff,Wikidata,Q3078767,POINT (393 375)
6,TRPC3,b6716,,897.5,161.0,65.0,25.0,#None,Ensembl,ENSG00000138741,POINT (897.5 161)
7,Ca2+,c91c9,,787.5,104.0,51.0,25.0,#0000ff,ChEBI,CHEBI:29108,POINT (787.5 104)
8,GNAQ,caa86,a5a0d,535.5,184.0,51.0,25.0,#None,Ensembl,ENSG00000156052,POINT (535.5 184)
9,GRM1,e086b,,608.0,160.0,65.0,25.0,#None,Ensembl,ENSG00000152822,POINT (608 160)
10,GRIA1,e704b,d8818,159.5,155.0,57.0,25.0,#None,Ensembl,ENSG00000155511,POINT (159.5 155)
11,CACNA1A,e7abb,,788.0,160.0,66.0,25.0,#None,Ensembl,ENSG00000141837,POINT (788 160)
12,IP3R1,e9662,,566.5,420.0,53.0,25.0,#None,Ensembl,ENSG00000150995,POINT (566.5 420)
13,DAG,f3f5a,,356.5,173.0,59.0,25.0,#0000ff,ChEBI,CHEBI:18035,POINT (356.5 173)
14,PLCB1,f87de,a1bf3,494.5,234.0,55.0,25.0,#None,Ensembl,ENSG00000182621,POINT (494.5 234)
15,CA8,fc8da,,622.0,405.0,58.0,25.0,#None,Ensembl,ENSG00000178538,POINT (622 405)
16,PRKCG,ffa74,,268.0952059419311,499.2754895340986,68.19041188386223,25.0,#None,Ensembl,ENSG00000126583,POINT (268.0952059419311 499.2754895340986)
17,PIP2,ffaf0,,473.0,173.0,64.0,25.0,#0000ff,Wikidata,Q3083814,POINT (473 173)
18,PDK1,cd3f6,,393.0952059419311,442.2754895340986,68.19041188386223,25.0,#None,Ensembl,ENSG00000152256,POINT (393.0952059419311 442.2754895340986)
19,PLCB2,ec722,a1bf3,494.5,259.0,55.0,25.0,#None,Ensembl,ENSG00000137841,POINT (494.5 259)
20,PLCB3,ab5af,a1bf3,547.5,234.0,55.0,25.0,#None,Ensembl,ENSG00000149782,POINT (547.5 234)
21,PLCB4,f90a2,a1bf3,547.5,259.0,55.0,25.0,#None,Ensembl,ENSG00000101333,POINT (547.5 259)
22,GNA11,f5c4e,a5a0d,535.5,209.0,51.0,25.0,#None,Ensembl,ENSG00000088256,POINT (535.5 209)
23,GNA14,a9461,a5a0d,586.5,184.0,51.0,25.0,#None,Ensembl,ENSG00000156049,POINT (586.5 184)
24,GNA15,e0846,a5a0d,586.5,209.0,51.0,25.0,#None,Ensembl,ENSG00000060558,POINT (586.5 209)
25,GRIA3,bd2be,d8818,216.5,155.0,57.0,25.0,#None,Ensembl,ENSG00000125675,POINT (216.5 155)
26,GRIA4,d5c9b,d8818,216.5,180.0,57.0,25.0,#None,Ensembl,ENSG00000152578,POINT (216.5 180)
27,ATP2B2,cdf25,,1024.0,161.0,56.0,25.0,#None,Ensembl,ENSG00000157087,POINT (1024 161)
28,Ca2+,b5b82,,260.5,409.0,51.0,25.0,#0000ff,ChEBI,CHEBI:29108,POINT (260.5 409)
29,Ca2+,baa8a,,728.5,510.0,51.0,25.0,#0000ff,ChEBI,CHEBI:29108,POINT (728.5 510)
30,Ca2+,b3a0c,,641.5,524.0,51.0,25.0,#0000ff,ChEBI,CHEBI:29108,POINT (641.5 524)
31,Ca2+,f0daa,,566.5,370.0,51.0,25.0,#0000ff,ChEBI,CHEBI:29108,POINT (566.5 370)
32,Ca2+,a0082,,566.5,479.0,51.0,25.0,#0000ff,ChEBI,CHEBI:29108,POINT (566.5 479)
33,Ca2+,e50db,,1024.5,92.0,51.0,25.0,#0000ff,ChEBI,CHEBI:29108,POINT (1024.5 92)
34,Ca2+,a6d3e,,896.5,106.0,51.0,25.0,#0000ff,ChEBI,CHEBI:29108,POINT (896.5 106)
35,Ca2+,c2b4e,,1024.5,233.0,51.0,25.0,#0000ff,ChEBI,CHEBI:29108,POINT (1024.5 233)
36,Ca2+,d01a5,,787.5,233.0,51.0,25.0,#0000ff,ChEBI,CHEBI:29108,POINT (787.5 233)
37,Ca2+,c2920,,896.5,224.0,51.0,25.0,#0000ff,ChEBI,CHEBI:29108,POINT (896.5 224)
38,Ca2+,ac242,,747.5,368.0,51.0,25.0,#0000ff,ChEBI,CHEBI:29108,POINT (747.5 368)
39,Ca2+,cfc2d,,747.5,477.0,51.0,25.0,#0000ff,ChEBI,CHEBI:29108,POINT (747.5 477)
40,Na+,a0dc5,,188.5,242.0,47.0,25.0,#0000ff,ChEBI,CHEBI:29101,POINT (188.5 242)
