,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,FOXM1,a1208,ea519,294.1545847889889,698.6666666666666,90.0,25.0,#None,Entrez Gene,2305,POINT (294.1545847889889 698.6666666666666)
1,IL6,a2d77,,991.9528727713985,168.00000000000003,90.0,25.0,#None,Entrez Gene,3569,POINT (991.9528727713985 168.00000000000003)
2,RPTOR,a310d,a36a8,991.9528727713983,739.6666666666667,90.0,25.0,#None,Entrez Gene,57521,POINT (991.9528727713983 739.6666666666667)
3,KRAS,a31cc,c5e22,820.9528727713985,545.6666666666664,90.0,25.0,#None,Entrez Gene,3845,POINT (820.9528727713985 545.6666666666664)
4,IFNGR2,a5a7d,dd737,647.1195394380666,266.66666666666663,90.0,25.0,#None,Entrez Gene,3460,POINT (647.1195394380666 266.66666666666663)
5,CCND1,ab06f,ea519,294.1545847889889,723.6666666666667,90.0,25.0,#None,Entrez Gene,2305,POINT (294.1545847889889 723.6666666666667)
6,IFNG,adc6e,,647.1195394380666,168.00000000000006,90.0,25.0,#None,Entrez Gene,3458,POINT (647.1195394380666 168.00000000000006)
7,PRLR,adc86,,398.6666666666672,253.99999999999997,90.0,25.0,#None,Entrez Gene,5618,POINT (398.6666666666672 253.99999999999997)
8,EPO,af7a3,,194.66666666666688,168.00000000000006,90.0,25.0,#None,Entrez Gene,2056,POINT (194.66666666666688 168.00000000000006)
9,NRAS,b5afb,c5e22,820.9528727713985,595.6666666666665,90.0,25.0,#None,Entrez Gene,4893,POINT (820.9528727713985 595.6666666666665)
10,AKT2,b6d9f,a94dd,991.9528727713983,570.6666666666664,90.0,25.0,#None,Entrez Gene,208,POINT (991.9528727713983 570.6666666666664)
11,IFNGR1,b96b3,dd737,647.1195394380666,241.66666666666666,90.0,25.0,#None,Entrez Gene,3459,POINT (647.1195394380666 241.66666666666666)
12,CCND3,be00c,ea519,294.1545847889889,773.6666666666666,90.0,25.0,#None,Entrez Gene,896,POINT (294.1545847889889 773.6666666666666)
13,MLST8,bfde3,a36a8,991.9528727713983,764.6666666666667,90.0,25.0,#None,Entrez Gene,64223,POINT (991.9528727713983 764.6666666666667)
14,STAT1,c36fb,b3a8d,647.1195394380666,385.99999999999994,90.0,25.0,#None,Entrez Gene,6772,POINT (647.1195394380666 385.99999999999994)
15,SOCS2,c43c2,e01f9,480.70287277140005,386.2500000000001,90.0,25.0,#None,Entrez Gene,8835,POINT (480.70287277140005 386.2500000000001)
16,SOCS1,c43e4,e01f9,480.70287277140005,361.2500000000001,90.0,25.0,#None,Entrez Gene,8651,POINT (480.70287277140005 361.2500000000001)
17,STAT3,d6831,f40ce,991.9528727713985,385.99999999999994,90.0,25.0,#None,Entrez Gene,6774,POINT (991.9528727713985 385.99999999999994)
18,MAPK signaling pathway,d73d8,,820.9528727713988,670.6666666666673,159.28620610473325,25.0,#14961e,WikiPathways,WP382,POINT (820.9528727713988 670.6666666666673)
19,STAT5B,d8b39,c28b5,294.1545847889888,385.9999999999999,90.0,25.0,#None,Entrez Gene,6777,POINT (294.1545847889888 385.9999999999999)
20,AKT3,d9cc4,a94dd,991.9528727713983,595.6666666666664,90.0,25.0,#None,Entrez Gene,10000,POINT (991.9528727713983 595.6666666666664)
21,GHR,d9f45,,294.1545847889889,253.99999999999997,90.0,25.0,#None,Entrez Gene,2690,POINT (294.1545847889889 253.99999999999997)
22,AKT1S1,da53c,a36a8,991.9528727713983,789.6666666666667,90.0,25.0,#None,Entrez Gene,84335,POINT (991.9528727713983 789.6666666666667)
